replication,obs_mean,sim_mean,mae,rmse,mape,throughput_per_hr,lq,wq_mins,max_queue_length,n_buses
1,52.892226134585286,52.5244424882629,6.420231481481482,8.307167707857172,12.636869131864328,2.8288726642993325,0.0,0.0,0,23
2,52.892226134585286,52.65778560250391,6.448809989567032,8.329581197933553,12.69592109914318,2.828906365108495,0.0,0.0,0,23
3,52.892226134585286,52.60999771778821,6.375246804903495,8.253045599835852,12.56414689040245,2.8289291951451103,0.0,0.0,0,23
4,52.892226134585286,52.5988947574335,6.405253651538863,8.275497200968093,12.617420348953862,2.828890275589761,0.0,0.0,0,23
5,52.892226134585286,52.57683881064164,6.454683098591548,8.315508410636667,12.713517199546938,2.8289615926866842,0.0,0.0,0,23
6,52.892226134585286,52.6170579029734,6.367883411580595,8.242110643039966,12.545656600139617,2.8288289631554524,0.0,0.0,0,23
7,52.892226134585286,52.55229851330203,6.381205007824726,8.273993956304201,12.555574480656647,2.8289287602838273,0.0,0.0,0,23
8,52.892226134585286,52.55074334898279,6.455013693270735,8.34797377781037,12.709469386918826,2.8289391969915156,0.0,0.0,0,23
9,52.8922261345853,52.62622587376107,6.423024256651018,8.280990070148965,12.64408048273738,2.8289765958264477,0.0,0.0,0,23
10,52.892226134585286,52.53112121804904,6.460004890453834,8.336442636613695,12.706314524954731,2.828886796798964,0.0,0.0,0,23
