replication,obs_mean,sim_mean,mae,rmse,mape,throughput_per_hr,lq,wq_mins,max_queue_length,n_buses
1,52.892226134585286,46.94665427751624,8.205731774908994,9.952062512550171,15.240464954310848,2.8290415786538397,0.0,0.0,0,23
2,52.892226134585286,46.986832371542896,8.086894643323713,9.826994264903472,14.992219410008559,2.828964071455323,0.0,0.0,0,23
3,52.892226134585286,47.06596203377549,8.112728465702423,9.893788436349592,15.078387486894465,2.8290466886899126,0.0,0.0,0,23
4,52.892226134585286,46.96015111502238,8.213843896714558,9.95573274515808,15.263550976276147,2.828999361764205,0.0,0.0,0,23
5,52.892226134585286,46.9607545970254,8.139164221440245,9.906490251072771,15.082687760205385,2.829055397538608,0.0,0.0,0,23
6,52.892226134585286,47.022973151407484,8.144482182447176,9.865119379888215,15.136295734506636,2.8290073201440635,0.0,0.0,0,23
7,52.892226134585286,47.01830342005619,8.120281119588311,9.885531317145848,15.073507567836252,2.828979020261794,0.0,0.0,0,23
8,52.892226134585286,46.94408589266968,8.184191689489223,9.901714203912055,15.193400729284939,2.828931543398347,0.0,0.0,0,23
9,52.892226134585286,46.9255485459039,8.165147365676441,9.939195913912465,15.137805128225768,2.829011886447805,0.0,0.0,0,23
10,52.892226134585286,46.92183212702015,8.243235198227337,9.98520139715381,15.302072721202538,2.829016050494783,0.0,0.0,0,23
